sentence,quote_media_type,quote_source_name,speaker_name
どうでもいいことで人に謝ってると 大事なところで謝れない,テレビ,情熱大陸,鈴木敏夫
分かんないものは 分かんないままとっておけばい,テレビ,情熱大陸,鈴木敏夫
世間一般で言われていることは全部疑わなきゃ,テレビ,情熱大陸,鈴木敏夫
あなたのことが大好き。,映画,思い出のマーニー,
iphonenの作り方わかっちゃって～,その他,iphoneのつくりかた,ランジャタイ
あきらめたらそこで試合終了ですよ・・・？,小説・漫画,スラムダンク,井上雄彦
気まずい沈黙。,映画,パルプ・フィクション,
吾輩は猫である。名前はまだ無い。,小説・漫画,吾輩は猫である,夏目漱石
俺は俺の弱さが好きなんだよ。苦しさや辛さも好きだ。夏の光や風の匂いや蝉の声や、そんなものが好きなんだ。どうしようもなく好きなんだ。,小説・漫画,羊をめぐる冒険,村上春樹
こんなにも真っ黒でつめたい世界が数時間後にはピカピカな朝になるなんて、私はいまだに信じられない。,小説・漫画,少女は卒業しない,朝井リョウ
そんなことを頼んできたのは、お前が初めてだよ,小説・漫画,少女は卒業しない,朝井リョウ
まあ別に、世の中回すために生きてないしね。,映画,愛がなんだ,
すべての女性には、嘘をつくための特別な独立器官のようなものが生まれつきそなわっている,小説・漫画,独立器官,村上春樹
聞いて驚くな。実家は意外とやることないぞ。,広告,NETFLIX,
10代で口ずさんだ歌を、人は一生口ずさむ。,広告,ソニーWALKMAN,
いえなかった言葉たちは、どうしていますか？,広告,NTT,
ナイフで切ったように、夏が終わる。,広告,PARCO,
